year|arid|count
2005|77893700000|13
2005|765-0938671|13
2005|77072400005|13
2005|77516800003|13
2005|362-1259997|13
2005|10000015750|13
2005|30000035362|13
2005|752-2102740|13
2005|50000023079|13
2005|50000024410|13
2005|71620300009|13
2005|71891200009|13
2005|30000024957|12
2005|20001010930|12
2005|791-1762440|12
2005|71756900000|12
2005|10000008846|12
2005|755-0823727|12
2005|71640000002|12
2005|77083400004|12
2005|77994900001|12
2005|20001950308|12
2005|30000009244|12
2005|77408800004|12
2005|30000001028|12
2005|30000000186|12
2005|732-0027872|12
2005|71757000009|11
2005|20000523965|11
2005|30000000151|11
2005|50000002658|11
2005|10000004097|11
2005|50000066508|11
2005|30000027510|11
2005|77354100002|11
2005|71775300005|11
2005|20000497039|11
2005|30000016825|11
2005|30000008149|11
2005|71706800009|11
2005|30000022537|11
2005|30000008798|11
2005|50000005168|11
2005|30000012614|11
2005|366-0626683|11
2006|20001644643|45145
2006|30000025653|34533
2006|70458600405|29703
2006|77604800006|25130
2006|20003197134|23347
2006|77900200006|22657
2006|10000001741|12945
2006|10000000786|11645
2006|20002752527|10491
2006|71512400000|9841
2006|77185300006|9342
2006|71534900004|8013
2006|77756600001|6158
2006|775-2921540|6121
2006|71259600009|5982
2006|71917700009|5512
2006|433-0661303|5267
2006|71557900001|5142
2006|722-3191019|5085
2006|40050495284|4802
2006|40330703444|4795
2006|40931186856|4708
2006|71556900003|4700
2006|77592700002|4320
2006|71958200004|3773
2006|775-3000943|3686
2006|71891200009|3656
2006|77892800004|3475
2006|71958100003|3344
2006|71851400008|3254
2006|795-2622032|3143
2006|720-1848324|3115
2006|10000023160|3109
2006|77373400006|2964
2006|20001942602|2882
2006|40000003970|2837
2006|20002751986|2778
2006|77775100007|2534
2006|77943800003|2509
2006|77673400003|2507
2006|77909100002|2414
2006|722-3848508|2327
2006|20001881185|2291
2006|71830200003|2065
2006|77069000008|2059
2006|756-2270727|1835
2006|765-0367752|1681
2006|40000014939|1523
2006|71857500007|1451
2006|20002751810|1423
2006|71991500005|1386
2006|720-0496147|1357
2006|20002817118|1338
2006|20000169653|1186
2006|20001993734|1152
2006|148-0875093|1135
2006|20003486436|1080
2006|72085300005|1050
2006|40000002630|1048
2006|163-0692047|1035
2006|772-1521765|942
2006|705-0560686|879
2006|40000012504|868
2006|720-2241771|841
2006|20000902270|827
2006|71856900004|800
2006|20001843606|781
2006|77197000003|764
2006|71583600006|753
2006|72064900008|717
2006|733-0806023|690
2006|77271100003|661
2006|20000860473|650
2006|20003106181|631
2006|10000014761|628
2006|77177900003|618
2006|20002751995|612
2006|20002751922|601
2006|727-0011311|595
2006|71855800007|571
2006|752-2270490|568
2006|77515900008|553
2006|720-2681275|551
2006|20002752022|545
2006|71810000005|541
2006|111-3324993|493
2006|77642300001|479
2006|72033300001|459
2006|77668700008|442
2006|20002751968|428
2006|313-3432069|418
2006|752-2198535|409
2006|775-3195140|394
2006|70542046140|394
2006|71813900002|390
2006|730-0237185|390
2006|71392000005|378
2006|40000008183|377
2006|71718800007|370
2006|723-2425397|368
2006|77299000001|361
2006|71463600006|352
2006|77979400002|337
2006|40000008412|335
2006|701-0681100|327
2006|20002751847|326
2006|705-0402708|323
2006|77555300005|323
2006|71809900002|315
2006|71499700000|313
2006|20001845020|309
2006|20002752013|304
2006|736-3440533|302
2006|420-2096530|301
2006|10000023446|301
2006|20002752321|300
2006|20001847305|300
2006|77542800002|296
2006|10000014740|295
2006|358-2257419|291
2006|77699300007|287
2006|77692500004|283
2006|775-2958981|283
2006|77624400009|281
2006|71444800008|275
2006|77082200001|267
2006|77806400002|266
2006|20002751801|266
2006|71728700007|256
2006|73027509990|253
2006|74216200005|250
2006|706-1554666|250
2006|71194900009|245
2006|20001072246|232
2006|77343000001|229
2006|704-3746618|228
2006|761-1421201|227
2006|70201426791|223
2006|71061700007|222
2006|10000000008|222
2006|77101800009|222
2006|72324900006|218
2006|71707500002|208
2006|72033000009|207
2006|20003394401|206
2006|40000014470|202
2006|73447609992|200
2006|40593151342|200
2006|77289300004|199
2006|762-1717999|197
2006|71206600009|194
2006|786-1022113|193
2006|71544500009|191
2006|20000233031|185
2006|20002750532|180
2006|70542409990|178
2006|77223200006|174
2006|20001845039|174
2006|71565900005|173
2006|20001847378|172
2006|120-3380020|172
2006|705-0589958|172
2006|40000006069|171
2006|77875200001|170
2006|20002040381|166
2006|20002041034|162
2006|775-1794257|160
2006|71141000000|157
2006|713-3753941|157
2006|20002041007|156
2006|71725800009|155
2006|741-1810165|155
2006|77620600028|152
2006|10000024189|150
2006|77233200004|146
2006|71939500007|146
2006|73028209994|145
2006|723-3051009|139
2006|77747600001|139
2006|748-1295185|137
2006|71283400003|137
2006|77768100008|136
2006|20002134936|135
2006|71345300006|135
2006|20002750242|135
2006|20001844827|135
2006|733-0748289|133
2006|20001844359|133
2006|71222400008|132
2006|40061104540|130
2006|77006300002|129
2006|30000028178|124
2006|20001847163|123
2006|304-3077687|121
2006|71066700001|120
2006|72003500009|120
2006|775-3004683|119
2006|30000027397|118
2006|77062300004|118
2006|71750800001|117
2006|711-2815564|114
2006|20002040989|114
2006|20003315853|112
2006|40000014468|111
2006|20002977601|110
2006|30000005962|110
2006|30000026870|109
2006|71738100008|109
2006|74728209997|107
2006|73831400006|107
2006|77568300002|105
2006|71611300007|103
2006|40000015044|103
2006|71033500006|103
2006|113-3222578|102
2006|77107500004|99
2006|736-4327855|99
2006|40000004072|99
2006|72132100007|98
2006|20001844984|97
2006|71412900001|96
2006|733-0975529|95
2006|20001868177|92
2006|20002752077|92
2006|20001216291|92
2006|366-0422347|90
2006|720-2117267|89
2006|77758700005|88
2006|363-1131381|88
2006|77794500000|87
2006|77087500006|87
2006|71843200000|87
2006|77765600003|87
2006|30000009846|86
2006|73000809992|86
2006|71108800004|86
2006|20002752684|85
2006|72052000009|85
2006|794-3123360|84
2006|71844100006|84
2006|76444009997|84
2006|765-1118564|83
2006|77465600054|81
2006|20003144576|81
2006|10000024256|81
2006|20001844920|80
2006|20000311845|78
2006|20001844966|77
2006|795-4731883|77
2006|20001088890|77
2006|77552800000|77
2006|40000008876|76
2006|30000035362|76
2006|77056000000|76
2006|20001844939|75
2006|702-0588531|75
2006|71227300009|75
2006|71596800005|73
2006|77855000003|71
2006|704-2992161|71
2006|20002039488|71
2006|77774500004|71
2006|791-2061846|70
2006|754-1761455|70
2006|77503100002|69
2006|20001844340|69
2006|71863600000|68
2006|77187700001|68
2006|152-2113031|68
2006|71834400000|68
2006|20001844975|67
2006|713-2607259|67
2006|71596200005|66
2006|785-0486519|66
2006|71620300009|65
2006|762-1738985|65
2006|77868600006|65
2006|776-0561995|65
2006|71270809992|65
2006|116-1245395|64
2006|71244600009|64
2006|77811300008|64
2006|20002023218|63
2006|30000026799|63
2006|722-3740390|61
2006|742-1543834|61
2006|713-2868346|61
2006|758-2679071|59
2006|72073700008|59
2006|72149009991|59
2006|75135809997|59
2006|752-2022827|58
2006|71256700000|57
2006|362-1662612|57
2006|722-3887207|56
2006|71770800008|56
2006|720-2473450|56
2006|30000057803|56
2006|20001426027|56
2006|20001844948|55
2006|733-0967630|55
2006|71095600009|55
2006|77354100002|54
2006|30000001695|54
2006|363-1113916|54
2006|338-3589255|54
2006|70562317863|53
2006|77801700003|53
2006|77442300004|52
2006|77971400001|52
2006|733-0885302|51
2006|50000007091|51
2006|722-3611301|51
2006|77364800008|50
2006|30000000178|50
2006|71614900001|49
2006|30000011813|49
2006|40000006809|49
2006|72317700005|49
2006|733-0429880|48
2006|701-0550261|48
2006|73919409997|48
2006|777-0463885|47
2006|40000008083|47
2006|77395000008|47
2006|20002861595|46
2006|77230000003|46
2006|736-4225752|45
2006|711-2409314|45
2006|10000023248|45
2006|30000010450|45
2006|758-2493831|45
2006|704-2727674|44
2006|20003211759|43
2006|141-1704421|43
2006|71706800009|43
2006|40640713034|43
2006|71370600001|43
2006|10000005001|42
2006|71609800004|42
2006|733-0975918|42
2006|71441900009|42
2006|733-0964640|42
2006|722-3554558|42
2006|50000000234|42
2006|20000844567|41
2006|20001844283|41
2006|20001844331|41
2006|730-0174430|41
2006|20000576710|41
2006|77634000003|41
2006|772-1585243|41
2006|77158700003|40
2006|72181809990|40
